"Rank","Player","Position","Team","Drafts","ADP","PosADP","RVRank","RVPosRk","Earliest","Latest","StdDev"
1,"Patrick Mahomes","QB","KC",36,1.06,1,4,3,1,2,0.23
2,"Josh Allen","QB","BUF",36,2.5,2,1,1,2,4,0.7
3,"Kyler Murray","QB","ARI",36,3.28,3,18,9,2,6,0.81
4,"Christian McCaffrey","RB","CAR",36,4.56,1,23,5,1,11,2.42
5,"Justin Herbert","QB","LAC",36,6.19,4,17,8,3,10,1.51
5,"Lamar Jackson","QB","BAL",36,6.19,4,8,5,3,9,1.56
7,"Dak Prescott","QB","DAL",37,6.22,6,39,14,2,10,1.84
8,"Trevor Lawrence","QB","JAC",37,9.32,7,52,15,4,22,3.58
9,"Jonathan Taylor","RB","IND",37,9.68,2,38,7,5,16,2.24
10,"Joe Burrow","QB","CIN",37,11.65,8,16,7,7,19,3.15
11,"Dalvin Cook","RB","MIN",36,11.81,3,177,53,5,18,3.54
12,"Justin Jefferson","WR","MIN",37,14.27,1,3,1,7,26,4.23
13,"Saquon Barkley","RB","NYG",37,14.57,4,57,11,5,34,5.28
14,"Russell Wilson","QB","SEA",37,16.76,9,135,28,8,31,5.28
15,"Alvin Kamara","RB","NO",37,17.24,5,90,23,8,29,5.28
16,"Kyle Pitts","TE","ATL",37,17.95,1,61,6,6,31,5.36
17,"A.J. Brown","WR","TEN",37,18.3,2,22,7,6,26,4.55
18,"Najee Harris","RB","PIT",37,19.11,6,78,18,11,29,4.93
18,"Trey Lance","QB","SF",37,19.11,10,197,37,10,34,6.13
20,"DK Metcalf","WR","SEA",37,20.32,3,45,21,12,35,5.36
21,"Travis Kelce","TE","KC",37,22.3,2,80,9,8,34,6.54
22,"Tyreek Hill","WR","KC",37,22.51,4,27,10,9,35,4.65
23,"CeeDee Lamb","WR","DAL",37,23.76,5,6,3,11,41,6.25
24,"Justin Fields","QB","CHI",37,24.84,11,20,10,11,46,7.01
25,"Ja'Marr Chase","WR","CIN",37,26.46,6,5,2,12,39,6.88
26,"Antonio Gibson","RB","WAS",37,27,7,140,39,12,38,6.88
27,"George Kittle","TE","SF",37,28.3,3,67,8,13,41,5.21
28,"Stefon Diggs","WR","BUF",37,28.86,7,69,30,14,42,6.26
29,"D'Andre Swift","RB","DET",37,29.14,8,76,17,18,42,6.09
30,"Calvin Ridley","WR","ATL",37,30.86,8,91,38,21,45,5.66
31,"Darren Waller","TE","LV",37,32.08,4,175,24,25,42,4.62
32,"Davante Adams","WR","GB",37,33.54,9,65,28,24,43,4.96
33,"Clyde Edwards-Helaire","RB","KC",37,33.97,9,258,78,16,47,6.69
34,"Nick Chubb","RB","CLE",37,34.51,10,105,26,16,51,7.49
35,"Derrick Henry","RB","TEN",37,38.32,11,107,28,14,60,10.94
36,"DeAndre Hopkins","WR","ARI",37,41,10,118,45,30,55,5.56
37,"Ezekiel Elliott","RB","DAL",38,42.11,12,215,65,24,59,7.97
38,"Jalen Hurts","QB","PHI",38,42.68,12,2,2,21,64,9.77
39,"J.K. Dobbins","RB","BAL",37,42.89,13,143,42,23,127,22.1
40,"Terry McLaurin","WR","WAS",38,43.68,11,68,29,30,57,6.58
41,"Deshaun Watson","QB","HOU",37,44.05,13,60,18,20,129,21.23
42,"Javonte Williams","RB","DEN",38,44.42,14,82,20,28,57,7.03
43,"Joe Mixon","RB","CIN",38,46.71,15,112,31,33,61,5.73
44,"T.J. Hockenson","TE","DET",38,46.74,5,47,3,33,64,7.47
45,"DJ Moore","WR","CAR",37,47.7,12,25,9,34,60,6.6
46,"Zach Wilson","QB","NYJ",38,47.95,14,255,41,15,67,11
47,"Matthew Stafford","QB","LAR",38,48.26,15,92,21,31,62,8.13
48,"Travis Etienne","RB","JAC",37,48.51,16,40,8,30,133,24.89
49,"Aaron Jones","RB","GB",38,49.26,17,97,25,29,64,7.14
50,"Austin Ekeler","RB","LAC",38,50.39,18,115,33,35,66,6.96
51,"Ryan Tannehill","QB","TEN",39,50.69,16,183,34,31,77,9.48
52,"Tee Higgins","WR","CIN",39,50.82,13,36,16,32,68,8.89
53,"Aaron Rodgers","QB","GB",38,52.21,17,128,27,4,89,16.59
54,"Brandon Aiyuk","WR","SF",38,53.21,14,29,11,30,71,9.48
55,"Tua Tagovailoa","QB","MIA",38,55.18,18,37,13,31,76,9.49
56,"Chris Godwin","WR","TB",38,55.84,15,86,36,45,66,5.75
57,"Allen Robinson","WR","CHI",38,58.63,16,NA,NA,49,70,5.11
58,"Cam Akers","RB","LAR",37,59.41,19,201,60,12,135,44.5
59,"Mark Andrews","TE","BAL",38,59.76,6,51,4,42,72,6.93
60,"Miles Sanders","RB","PHI",38,61.97,20,139,38,44,79,9.39
61,"DeVonta Smith","WR","PHI",39,62.97,17,35,15,38,78,9.89
62,"Baker Mayfield","QB","CLE",38,63,19,89,20,46,75,6.82
63,"Keenan Allen","WR","LAC",38,63.13,18,70,31,47,74,6.38
64,"Jerry Jeudy","WR","DEN",39,63.97,19,116,43,37,85,11.19
65,"Amari Cooper","WR","DAL",39,64.38,20,88,37,47,75,5.95
66,"David Montgomery","RB","CHI",38,64.55,21,79,19,49,83,7.29
67,"Josh Jacobs","RB","LV",38,65.84,22,66,13,55,88,7.45
68,"Michael Thomas","WR","NO",38,66.13,21,172,67,44,105,18.5
69,"Chase Claypool","WR","PIT",39,67.41,22,248,97,46,91,8.95
70,"Trey Sermon","RB","SF",39,68.79,23,NA,NA,47,84,9.16
71,"Noah Fant","TE","DEN",39,68.85,7,182,25,60,92,6.38
72,"Mike Evans","WR","TB",39,71.82,23,77,33,48,82,6.43
73,"Diontae Johnson","WR","PIT",39,72.87,24,83,34,52,105,9.11
74,"Jaylen Waddle","WR","MIA",39,73.41,25,33,13,61,84,5.92
75,"Tom Brady","QB","TB",39,74.44,20,NA,NA,34,104,15.05
76,"Mac Jones","QB","NE",39,77.56,21,159,31,40,110,15.31
77,"Chris Carson","RB","SEA",39,78.79,24,NA,NA,49,99,10.82
78,"Courtland Sutton","WR","DEN",39,80.33,26,122,47,63,104,7.51
79,"Cooper Kupp","WR","LAR",39,81.51,27,72,32,58,97,7.84
80,"Laviska Shenault","WR","JAC",39,82.9,28,279,109,52,108,11.63
81,"Michael Carter","RB","NYJ",39,83.87,25,NA,NA,64,108,10.06
82,"Dallas Goedert","TE","PHI",39,85.13,8,102,13,62,126,12.4
83,"Robert Woods","WR","LAR",39,85.21,29,295,113,59,108,10.94
84,"Elijah Moore","WR","NYJ",40,85.6,30,149,57,57,127,13.75
85,"Kirk Cousins","QB","MIN",39,85.74,22,73,19,57,117,15.33
86,"Carson Wentz","QB","IND",39,86.26,23,NA,NA,52,136,18.4
87,"Rashod Bateman","WR","BAL",39,88.33,31,150,58,72,121,9.35
88,"Kareem Hunt","RB","CLE",39,88.67,26,221,67,71,103,8.09
89,"Kenny Golladay","WR","NYG",39,89.26,32,NA,NA,69,123,13.35
90,"JuJu Smith-Schuster","WR","PIT",38,90.05,33,229,85,73,111,7.39
90,"Matt Ryan","QB","ATL",39,90.05,24,NA,NA,63,114,11.43
92,"Myles Gaskin","RB","MIA",39,92.79,27,NA,NA,61,125,12.52
93,"Rondale Moore","WR","ARI",39,94.1,34,156,60,75,131,13.57
94,"DJ Chark","WR","JAC",39,94.54,35,185,70,75,125,11.64
95,"Tyler Lockett","WR","SEA",39,95.77,36,123,48,76,115,10.55
96,"Sam Darnold","QB","CAR",39,96.03,25,234,40,60,113,11.6
97,"James Robinson","RB","JAC",39,96.9,28,NA,NA,56,127,14.77
98,"Daniel Jones","QB","NYG",39,97,26,95,22,75,131,11.29
99,"Julio Jones","WR","TEN",39,97.82,37,NA,NA,65,125,10.81
100,"Deebo Samuel","WR","SF",39,100.51,38,46,22,86,123,7.72
101,"Odell Beckham","WR","CLE",39,100.97,39,217,81,83,128,10.29
102,"Chase Edmonds","RB","ARI",39,101.03,29,NA,NA,70,115,10.23
103,"Terrace Marshall","WR","CAR",40,102.4,40,247,96,78,140,14
104,"Derek Carr","QB","LV",40,104.03,27,103,23,84,154,12.63
105,"Adam Thielen","WR","MIN",39,104.85,41,167,63,83,124,9.55
106,"AJ Dillon","RB","GB",39,105.08,30,162,50,86,120,8.44
107,"Mike Davis","RB","ATL",39,106.15,31,NA,NA,73,138,14.09
108,"Michael Pittman","WR","IND",39,106.77,42,44,20,54,133,13.45
109,"Tyler Boyd","WR","CIN",39,108.13,43,176,69,90,133,8.94
110,"Damien Harris","RB","NE",39,112.08,32,226,71,74,143,17.64
111,"Irv Smith","TE","MIN",39,113.74,9,291,44,78,219,29.53
112,"Logan Thomas","TE","WAS",40,116.08,10,276,42,81,144,14.06
113,"Darrell Henderson","RB","LAR",40,118.7,33,290,87,57,164,31.36
114,"Mike Gesicki","TE","MIA",40,118.9,11,242,36,94,146,11.4
115,"Zack Moss","RB","BUF",40,120.67,34,235,73,89,143,11.64
116,"Jared Goff","QB","DET",39,120.72,28,58,16,65,176,19.28
117,"Tony Pollard","RB","DAL",40,121.15,35,87,22,98,139,9.28
118,"Will Fuller","WR","MIA",40,121.3,44,NA,NA,99,153,12.55
119,"Jameis Winston","QB","NO",39,122.62,29,280,48,64,177,25.17
120,"Michael Gallup","WR","DAL",40,122.7,45,240,91,92,152,13.09
121,"Robby Anderson","WR","CAR",39,123,46,NA,NA,86,153,13.7
122,"Curtis Samuel","WR","WAS",40,123.28,47,188,71,106,163,11.99
123,"Tyler Higbee","TE","LAR",40,124.9,12,164,22,98,155,12.51
124,"Ronald Jones","RB","TB",39,125.1,36,NA,NA,96,154,12.42
125,"Ryan Fitzpatrick","QB","WAS",41,128.73,30,NA,NA,100,187,19.88
126,"Cole Kmet","TE","CHI",40,129.2,13,98,11,108,162,11.8
127,"Henry Ruggs","WR","LV",40,130.1,48,NA,NA,105,156,11.98
128,"Darnell Mooney","WR","CHI",41,131.9,49,163,61,88,166,16.42
129,"Brandin Cooks","WR","HOU",40,132.07,50,169,65,106,150,11.33
130,"Adam Trautman","TE","NO",40,132.18,14,NA,NA,104,182,18.55
131,"Jonnu Smith","TE","NE",40,132.53,15,NA,NA,105,161,12.04
132,"Jalen Reagor","WR","PHI",40,133.22,51,NA,NA,113,159,12.57
133,"Corey Davis","WR","NYJ",40,133.62,52,299,115,94,174,15.52
134,"Evan Engram","TE","NYG",40,134.25,16,64,7,94,180,18.67
135,"Marquise Brown","WR","BAL",40,135.28,53,120,46,104,179,15.9
136,"Robert Tonyan","TE","GB",40,136.28,17,NA,NA,104,166,12.88
137,"Melvin Gordon","RB","DEN",39,136.79,37,NA,NA,98,176,19.41
138,"Raheem Mostert","RB","SF",40,138.43,38,84,21,99,174,15.09
139,"Amon-Ra St. Brown","WR","DET",40,139.5,54,9,4,107,184,14.67
140,"Mike Williams","WR","LAC",41,139.76,55,137,56,119,166,12.26
141,"Pat Freiermuth","TE","PIT",41,141.17,18,101,12,104,160,12.97
142,"Jarvis Landry","WR","CLE",40,142.07,56,NA,NA,118,164,10.55
143,"Leonard Fournette","RB","TB",40,144.1,39,281,82,115,172,16.05
144,"Jordan Love","QB","GB",40,145.53,31,30,12,96,204,29.71
145,"Kenneth Gainwell","RB","PHI",41,146.12,40,198,57,121,170,15.24
146,"Mecole Hardman","WR","KC",41,147.15,57,278,108,100,195,20.13
147,"Ben Roethlisberger","QB","PIT",40,147.25,32,NA,NA,73,212,29.2
148,"Gus Edwards","RB","BAL",40,147.62,41,236,74,71,183,25.89
149,"Hunter Henry","TE","NE",40,149.12,19,186,26,129,175,11
150,"James Conner","RB","ARI",40,150.93,42,108,29,114,179,15.55
151,"Antonio Brown","WR","TB",41,152.32,58,NA,NA,110,195,19.44
152,"Kenyan Drake","RB","LV",40,152.8,43,NA,NA,117,178,13.99
153,"Bryan Edwards","WR","LV",41,153.63,59,NA,NA,121,190,17.92
154,"Kadarius Toney","WR","NYG",40,154.32,60,207,77,122,201,17.2
155,"Chuba Hubbard","RB","CAR",41,155.71,44,142,41,112,175,13.37
156,"Gabriel Davis","WR","BUF",41,155.98,61,NA,NA,134,178,9.63
157,"Nyheim Hines","RB","IND",40,156.1,45,NA,NA,125,184,14.16
158,"Alexander Mattison","RB","MIN",40,156.53,46,157,47,129,200,12.73
159,"Dyami Brown","WR","WAS",41,157.83,62,NA,NA,128,181,11.7
160,"Rhamondre Stevenson","RB","NE",41,158.07,47,75,16,115,200,17.13
161,"Devin Singletary","RB","BUF",41,161.15,48,173,52,98,183,16.67
162,"Gerald Everett","TE","SEA",41,162.59,20,216,33,136,200,15.69
163,"Parris Campbell","WR","IND",41,162.9,63,263,100,139,197,12.79
164,"Jamaal Williams","RB","DET",41,164.02,49,211,64,146,183,10.36
165,"Amari Rodgers","WR","GB",41,167.39,64,NA,NA,137,195,14.58
165,"Nico Collins","WR","HOU",41,167.39,64,50,24,139,190,10.86
167,"Russell Gage","WR","ATL",41,167.76,66,NA,NA,143,233,18.61
168,"Blake Jarwin","TE","DAL",41,169.27,21,NA,NA,137,218,16.23
169,"Marquez Callaway","WR","NO",24,170.21,67,NA,NA,110,219,37.28
170,"DeVante Parker","WR","MIA",41,172.59,68,270,103,146,205,14.49
171,"Teddy Bridgewater","QB","DEN",20,173.65,33,NA,NA,124,224,31.24
172,"Denzel Mims","WR","NYJ",41,173.9,69,NA,NA,122,234,24.44
173,"David Johnson","RB","HOU",40,174.18,50,NA,NA,137,225,21.5
174,"Rashaad Penny","RB","SEA",41,177.29,51,222,68,134,212,16.01
175,"Javian Hawkins","RB","ATL",31,179.06,52,NA,NA,157,220,15.8
176,"Marvin Jones","WR","JAC",42,179.19,70,NA,NA,136,239,22.93
177,"Taysom Hill","QB","NO",30,179.47,34,NA,NA,121,239,32.34
178,"Anthony Firkser","TE","TEN",41,179.95,22,NA,NA,146,227,17.52
179,"Josh Palmer","WR","LAC",41,180.41,71,NA,NA,145,212,15.28
180,"Austin Hooper","TE","CLE",40,181.12,23,NA,NA,152,219,17.89
181,"D'Wayne Eskridge","WR","SEA",41,181.41,72,NA,NA,147,200,11.08
182,"Zach Ertz","TE","PHI",41,182.37,24,294,45,141,226,21.12
183,"Darrynton Evans","RB","TEN",41,182.68,53,NA,NA,167,217,10.27
184,"Cam Newton","QB","NE",27,183.19,35,NA,NA,125,240,34.45
185,"Phillip Lindsay","RB","HOU",41,183.2,54,NA,NA,155,224,17.56
186,"Nelson Agholor","WR","NE",41,185.39,73,NA,NA,130,222,19.38
187,"Jakobi Meyers","WR","NE",37,185.65,74,134,55,116,239,32.25
188,"Sony Michel","RB","LAR",18,185.67,55,NA,NA,112,238,38.58
189,"JD McKissic","RB","WAS",41,188.37,56,NA,NA,146,218,14.82
190,"Elijah Mitchell","RB","SF",38,189.53,57,165,51,158,240,21.78
191,"Latavius Murray","RB","NO",39,190.62,58,287,85,171,230,12.42
192,"Rob Gronkowski","TE","TB",40,192.7,25,NA,NA,141,228,21.14
193,"KJ Hamler","WR","DEN",42,193.29,75,286,111,138,240,24.04
194,"OJ Howard","TE","TB",42,193.88,26,NA,NA,170,238,16.24
195,"Tre'Quan Smith","WR","NO",42,194.24,76,NA,NA,147,229,19.01
196,"Tony Jones","RB","NO",11,195.55,59,NA,NA,155,217,21.41
197,"Jared Cook","TE","LAC",41,196.32,27,NA,NA,160,239,18.32
198,"Christian Kirk","WR","ARI",41,196.73,77,94,40,171,236,15.75
199,"Ty'Son Williams","RB","BAL",11,197.09,60,NA,NA,110,227,34.86
200,"Tarik Cohen","RB","CHI",36,197.97,61,NA,NA,153,240,22.04
201,"Drew Lock","QB","DEN",19,198.21,36,NA,NA,143,238,28.38
202,"Cole Beasley","WR","BUF",36,198.47,78,NA,NA,124,232,23.14
203,"Van Jefferson","WR","LAR",42,200.62,79,NA,NA,172,236,16.38
204,"Donovan Peoples-Jones","WR","CLE",22,201.59,80,273,105,153,240,26.24
205,"Giovani Bernard","RB","TB",37,201.97,62,NA,NA,174,230,14.94
206,"Larry Rountree","RB","LAC",37,202.76,63,NA,NA,173,239,17.36
207,"TY Hilton","WR","IND",33,202.82,81,NA,NA,154,239,18.74
208,"Tevin Coleman","RB","NYJ",39,203.46,64,NA,NA,165,238,16.71
209,"Xavier Jones","RB","LAR",11,204.18,65,NA,NA,179,225,12.42
210,"Jacob Harris","TE","LAR",33,204.45,28,NA,NA,176,240,15.36
211,"Jimmy Garoppolo","QB","SF",23,204.7,37,180,32,161,239,23.13
212,"Gerrid Doaks","RB","MIA",28,206.75,66,NA,NA,180,239,18.37
213,"Sterling Shepard","WR","NYG",35,206.77,82,NA,NA,157,235,21.71
214,"Salvon Ahmed","RB","MIA",35,206.83,67,NA,NA,165,240,18.66
215,"Chris Evans","RB","CIN",39,207.26,68,NA,NA,175,238,14.21
216,"Noah Gray","TE","KC",25,209.32,29,NA,NA,169,238,21.25
217,"Quez Watkins","WR","PHI",11,209.36,83,NA,NA,165,232,21.36
218,"Ty Johnson","RB","NYJ",23,209.39,69,NA,NA,134,238,26.02
219,"Marlon Mack","RB","IND",26,210.5,70,NA,NA,176,235,16.58
220,"Tyrell Williams","WR","DET",25,210.56,84,NA,NA,171,240,20.85
221,"Mark Ingram","RB","HOU",6,210.67,71,NA,NA,184,228,17.7
222,"Brevin Jordan","TE","HOU",33,210.76,30,NA,NA,181,240,18.16
223,"Tylan Wallace","WR","BAL",26,210.85,85,NA,NA,169,239,16.87
224,"Darrel Williams","RB","KC",36,210.86,72,NA,NA,158,240,18.96
225,"Jaret Patterson","RB","WAS",25,211.64,73,NA,NA,177,239,17.53
226,"Jamison Crowder","WR","NYJ",33,211.79,86,NA,NA,185,238,13.77
227,"Hunter Long","TE","MIA",29,211.93,31,NA,NA,165,240,20.42
228,"Marquez Valdes-Scantling","WR","GB",17,212,87,NA,NA,168,235,19.69
229,"Anthony Schwartz","WR","CLE",28,212.11,88,NA,NA,177,237,14.65
230,"Tutu Atwell","WR","LAR",33,212.45,89,228,84,184,237,14.19
231,"Jermar Jefferson","RB","DET",24,213.12,74,NA,NA,185,233,13.15
232,"Chris Herndon","TE","MIN",21,213.57,32,NA,NA,179,239,19.16
233,"Josh Reynolds","WR","TEN",13,214.08,90,300,116,190,235,15.54
234,"James White","RB","NE",31,214.55,75,NA,NA,181,236,15.73
235,"Eric Ebron","TE","PIT",28,214.71,33,NA,NA,184,239,14.83
236,"Damien Williams","RB","CHI",27,214.78,76,NA,NA,184,239,17.22
237,"Ihmir Smith-Marsette","WR","MIN",12,215.42,91,NA,NA,191,239,16.57
238,"Kylin Hill","RB","GB",24,215.62,77,NA,NA,177,240,17.73
239,"Dez Fitzpatrick","WR","TEN",6,216,92,NA,NA,189,240,17.26
239,"Randall Cobb","WR","GB",7,216,92,NA,NA,200,227,9.87
241,"Devontae Booker","RB","NYG",25,216.44,78,NA,NA,174,237,15.56
242,"Breshad Perriman","WR","DET",21,216.71,94,NA,NA,181,240,14.14
243,"Donald Parham","TE","LAC",27,216.74,34,NA,NA,168,240,21.04
243,"Hayden Hurst","TE","ATL",23,216.74,34,260,40,177,239,15.3
245,"Darius Slayton","WR","NYG",21,216.86,95,NA,NA,188,239,15.29
246,"Emmanuel Sanders","WR","BUF",27,217.15,96,NA,NA,190,239,14.62
247,"Le'Veon Bell","RB","BAL",6,217.17,79,NA,NA,170,240,26.75
248,"Cornell Powell","WR","KC",25,217.28,97,NA,NA,180,240,13.37
249,"Harrison Bryant","TE","CLE",27,217.67,36,NA,NA,182,240,14.8
250,"AJ Green","WR","ARI",30,217.83,98,NA,NA,182,240,16.01
251,"Byron Pringle","WR","KC",14,218,99,NA,NA,186,240,15.76
252,"Dawson Knox","TE","BUF",20,219.35,37,254,38,191,236,12.9
253,"Joshua Kelley","RB","LAC",21,219.38,80,284,83,185,240,13.78
254,"Khalil Herbert","RB","CHI",27,219.81,81,138,37,186,239,14.42
255,"Qadree Ollison","RB","ATL",14,220.5,82,NA,NA,185,240,16.61
256,"Sammy Watkins","WR","BAL",28,220.57,100,NA,NA,185,239,15.23
257,"Demarcus Robinson","WR","KC",8,220.75,101,249,98,194,239,15.75
258,"Justice Hill","RB","BAL",7,221,83,178,54,216,238,7.92
259,"Dalton Schultz","TE","DAL",13,221.31,38,145,17,190,239,17.05
260,"Kellen Mond","QB","MIN",8,221.5,38,NA,NA,187,240,20.47
261,"Wayne Gallman","RB","SF",16,221.56,84,NA,NA,181,240,19.12
262,"Quintez Cephus","WR","DET",27,221.63,102,NA,NA,192,240,13.33
263,"Samaje Perine","RB","CIN",14,221.64,85,200,59,201,237,13.02
264,"Justin Jackson","RB","LAC",18,222.22,86,NA,NA,181,240,17.38
265,"Jeffery Wilson","RB","SF",15,222.27,87,NA,NA,181,238,17.49
266,"Boston Scott","RB","PHI",8,222.38,88,NA,NA,214,229,5.24
267,"David Njoku","TE","CLE",11,222.55,39,81,10,205,237,9.54
268,"Malcolm Brown","RB","MIA",20,222.7,89,NA,NA,198,237,11.31
269,"Tommy Tremble","TE","CAR",12,222.83,40,267,41,192,238,14.89
270,"Mo Alie-Cox","TE","IND",15,223.13,41,NA,NA,196,236,13.03
271,"Ke'Shawn Vaughn","RB","TB",12,223.17,90,NA,NA,199,238,10.63
272,"Tyler Johnson","WR","TB",14,223.5,103,NA,NA,168,240,17.65
273,"Todd Gurley","RB","FA",9,223.89,91,NA,NA,193,235,13.46
274,"Davis Mills","QB","HOU",9,224.44,39,NA,NA,179,239,17.96
275,"Jalen Hurd","WR","SF",8,224.5,104,NA,NA,209,235,11.43
276,"Kylen Granson","TE","IND",16,224.88,42,206,30,196,240,15.29
277,"N'Keal Harry","WR","NE",15,225.93,105,NA,NA,179,240,15.54
278,"Eno Benjamin","RB","ARI",14,226.14,92,NA,NA,205,240,10.35
279,"Jerick McKinnon","RB","KC",9,226.33,93,202,61,215,238,7.5
280,"John Brown","WR","LV",12,226.5,106,NA,NA,212,240,9.35
281,"La'Mical Perine","RB","NYJ",8,226.62,94,NA,NA,207,240,12.47
282,"Kene Nwangwu","RB","MIN",7,229.14,95,NA,NA,208,240,11.91
283,"Dan Arnold","TE","CAR",7,229.57,43,NA,NA,193,238,16.32
283,"Tyler Conklin","TE","MIN",7,229.57,43,252,37,220,235,5.32
285,"Allen Lazard","WR","GB",6,231.33,107,230,86,223,239,5.82
286,"Anthony McFarland","RB","PIT",6,232.33,96,NA,NA,225,240,6.28
