"QB","Overall","Player","Team","Bye","ESPN","Yahoo","CBS","Sleeper","RTSports","AVG"
"1","21","Josh Allen","BUF","7","1","1","","1","1","1.0"
"2","30","Patrick Mahomes II","KC","8","2","2","","2","2","2.0"
"3","34","Justin Herbert","LAC","8","3","3","","3","3","3.0"
"4","41","Lamar Jackson","BAL","10","4","4","","4","4","4.0"
"5","53","Kyler Murray","ARI","13 ","5","6","","5","6","5.5"
"6","55","Jalen Hurts","PHI","7","6","7","","7","5","6.3"
"7","56","Joe Burrow","CIN","10","9","5","","6","7","6.8"
"8","75","Tom Brady","","","7","8","","9","8","8.0"
"9","89","Aaron Rodgers","NYJ","10","8","11","","10","11","9.5"
"10","76","Russell Wilson","DEN","9","11","9","","8","9","10.0"
"11","88","Dak Prescott","DAL","9","10","10","","11","10","10.0"
"12","102","Matthew Stafford","LAR","7 ","12","13","","12","12","12.3"
"13","104","Trey Lance","DAL","9 ","13","12","","13","13","12.8"
"14","107","Derek Carr","NO","14","14","14","","14","14","14.0"
"15","116","Kirk Cousins","MIN","7","15","15","","15","15","15.0"
"16","127","Tua Tagovailoa","MIA","11","16","22","","16","16","17.5"
"17","142","Justin Fields","CHI","14","18","23","","18","17","18.8"
"18","150","Trevor Lawrence","JAC","11","17","25","","19","18","20.3"
"19","173","Mac Jones","NE","10","21","20","","21","25","21.3"
"20","181","Ryan Tannehill","TEN","6 ","23","21","","25","22","21.5"
"21","146","Jameis Winston","NO","14","19","27","","17","19","22.0"
"22","163","Matt Ryan","","","20","28","","20","20","22.5"
"23","189","Baker Mayfield","TB","11","22","17","","23","29","23.0"
"24","227","Carson Wentz","LAR","7","24","19","","95","23","22.0"
"25","204","Deshaun Watson","CLE","9","26","24","","22","34","25.5"
"26","207","Kenny Pickett","PIT","9","28","16","","24","33","25.5"
"27","195","Jared Goff","DET","6","27","26","","27","21","24.7"
"28","202","Daniel Jones","NYG","9","25","29","","26","27","27.0"
"29","245","Taysom Hill","NO","14","","18","","","","18.0"
"30","208","Zach Wilson","NYJ","10","29","","","28","26","27.5"
"31","230","Davis Mills","HOU","6","","","","97","24","24.0"
"32","235","Marcus Mariota","PHI","7 ","31","","","96","28","29.5"
"33","236","Mitch Trubisky","","","30","","","93","30","30.0"
"34","238","Jacoby Brissett","WAS","14","","","","59","31","31.0"
"35","241","Geno Smith","SEA","11","","","","58","32","32.0"
"36","258","Jimmy Garoppolo","LV","6 ","","","","102","35","35.0"
"37","275","Desmond Ridder","ATL","14","","","","101","36","36.0"
"38","280","Malik Willis","TEN","6","","","","85","37","37.0"
"39","328","Drew Lock","SEA","11","","","","89","38","38.0"
""
""