"RB","Overall","Player","Team","Bye","ESPN","Sleeper","NFL","RTSports","FFC","AVG"
"1","1","Jonathan Taylor","IND","14 ","1","1","1","1","","1.0"
"2","2","Christian McCaffrey","SF","9","2","2","2","2","","2.0"
"3","3","Austin Ekeler","LAC","8","3","4","3","3","","3.0"
"4","5","Derrick Henry","TEN","6","4","3","4","6","","4.7"
"5","8","Najee Harris","PIT","9","5","6","7","4","","5.3"
"6","7","Dalvin Cook","BAL","10","6","5","5","5","","5.3"
"7","10","Joe Mixon","CIN","10","8","7","6","7","","7.0"
"8","13","Alvin Kamara","NO","14","7","9","8","9","","8.0"
"9","15","D'Andre Swift","PHI","7","9","8","11","8","","9.3"
"10","17","Aaron Jones","GB","14","11","11","9","14","","11.3"
"11","21","Saquon Barkley","NYG","9","14","12","12","10","","12.0"
"12","24","Leonard Fournette","","","10","14","13","13","","12.0"
"13","20","Nick Chubb","CLE","9","15","10","10","12","","12.3"
"14","25","Javonte Williams","DEN","9 ","12","13","15","11","","12.7"
"15","28","James Conner","ARI","13","13","16","17","15","","15.0"
"16","30","Ezekiel Elliott","NE","10","17","15","14","16","","15.7"
"17","36","David Montgomery","DET","6","18","19","16","18","","17.3"
"18","39","Travis Etienne Jr.","JAC","11","19","18","19","17","","18.3"
"19","37","Cam Akers","MIN","7","16","17","22","19","","19.0"
"20","48","Josh Jacobs","LV","6","21","21","18","25","","21.3"
"21","49","Elijah Mitchell","SF","9","24","24","20","21","","21.7"
"22","50","J.K. Dobbins","BAL","10","22","22","21","24","","22.3"
"23","51","Breece Hall","NYJ","10 ","20","20","26","23","","23.0"
"24","62","Clyde Edwards-Helaire","KC","8","23","26","24","30","","25.7"
"25","63","Antonio Gibson","WAS","14 ","29","23","23","27","","26.3"
"26","67","AJ Dillon","GB","14","35","25","25","22","","27.3"
"27","81","Dameon Pierce","HU","6 O","27","35","37","20","","28.0"
"28","78","Devin Singletary","HOU","6","25","33","32","32","","29.7"
"29","88","Rashaad Penny","PHI","7 ","36","34","28","28","","30.7"
"30","82","Damien Harris","BUF","7","30","28","27","36","","31.0"
"31","84","Kareem Hunt","CLE","9","28","29","31","34","","31.0"
"32","85","Cordarrelle Patterson","ATL","14","31","30","29","33","","31.0"
"33","83","Miles Sanders","CAR","13","26","27","33","35","","31.3"
"34","86","Tony Pollard","DAL","9","33","31","30","31","","31.3"
"35","87","Chase Edmonds","TB","11","34","32","35","26","","31.7"
"36","99","Rhamondre Stevenson","NE","10","32","37","40","29","","33.7"
"37","105","Melvin Gordon III","","","37","39","34","38","","36.3"
"38","112","James Robinson","NO","14","38","41","38","40","","38.7"
"39","113","Michael Carter","ARI","13","39","40","36","42","","39.0"
"40","110","Kenneth Walker III","SEA","11","42","36","39","39","","40.0"
"41","116","James Cook","BUF","7","40","38","44","37","","40.3"
"42","128","Darrell Henderson Jr.","","","45","43","42","41","","42.7"
"43","130","Alexander Mattison","MIN","7","44","42","41","46","","43.7"
"44","142","Raheem Mostert","MIA","11","43","56","43","45","","43.7"
"45","137","Nyheim Hines","BUF","7","41","44","53","44","","46.0"
"46","144","Kenneth Gainwell","PHI","7","49","45","48","43","","46.7"
"47","150","Brian Robinson Jr.","WAS","14","47","47","46","53","","48.7"
"48","159","J.D. McKissic ","","","46","52","56","48","","50.0"
"49","167","Jamaal Williams","NO","14","48","54","57","51","","52.0"
"50","178","Mark Ingram II ","","","53","48","49","61","","54.3"
"51","179","Khalil Herbert","CHI","14","50","49","61","52","","54.3"
"52","181","Tyler Allgeier","ATL","14","51","51","63","50","","54.7"
"53","185","Rachaad White","TB","11","55","50","64","49","","56.0"
"54","191","Zamir White","LV","6","56","55","60","54","","56.7"
"55","195","Isiah Pacheco","KC","8","52","53","47","","","49.5"
"56","240","Rex Burkhead","","","54","","66","67","","62.3"
"57","205","Ronald Jones II","","","","59","45","68","","56.5"
"58","210","Chuba Hubbard","CAR","13","","57","52","66","","59.0"
"59","237","Myles Gaskin","MIN","7 ","","","54","64","","59.0"
"60","216","Kenyan Drake","","","","66","59","60","","59.5"
"61","228","D'Onta Foreman","CHI","14","","60","65","57","","61.0"
"62","214","Isaiah Spiller","LAC","8","","46","67","58","","62.5"
"63","227","Marlon Mack","ARI","13","","58","51","","","51.0"
"64","224","Jerick McKinnon","KC","8","","63","55","72","","63.5"
"65","231","Darrel Williams","","","","62","","55","","55.0"
"66","261","Ameer Abdullah","LV","6","","","69","62","","65.5"
"67","249","Jeff Wilson Jr.","MIA","11","","","","56","","56.0"
"68","281","Zack Moss","IND","14","","","58","83","","70.5"
"69","254","Mike Davis","","","","","","59","","59.0"
"70","297","Kyle Juszczyk","SF","9","","","62","","","62.0"
"71","262","Matt Breida","NYG","9","","","","63","","63.0"
"72","242","Tyrion Davis-Price","SF","9","","61","","65","","65.0"
"73","272","Jordan Mason","SF","9","","128","","69","","69.0"
"74","338","Brandon Bolden","LV","6","","","70","","","70.0"
"75","251","Eno Benjamin","NO","14","","64","","70","","70.0"
"76","284","Boston Scott","PHI","7","","","71","75","","73.0"
"77","252","Dontrell Hilliard ","","","","65","","71","","71.0"
"78","343","J.J. Taylor","HOU","6","","","72","","","72.0"
"79","279","Ke'Shawn Vaughn","NE","10","","","","73","","73.0"
"80","285","D'Ernest Johnson","JAC","11","","","73","77","","75.0"
"81","280","Damien Williams","","","","","","74","","74.0"
"82","348","DeeJay Dallas","SEA","11","","","74","","","74.0"
"83","350","Trey Sermon","IND","14","","","75","","","75.0"
"84","259","Sony Michel","","","","69","","76","","76.0"
"85","287","Joshua Kelley","LAC","8","","","","78","","78.0"
"86","273","Hassan Haskins","TEN","6","","70","","79","","79.0"
"87","267","Gus Edwards","BAL","10","","68","","80","","80.0"
"88","307","Jaylen Warren","PIT","9","","","","81","","81.0"
"89","270","Samaje Perine","DEN","9","","67","","82","","82.0"
"90","336","Chris Evans","CIN","10","","","","84","","84.0"
""
""